Path_ID,Start_Anchor,End_Anchor,Path_Length,Path_Situation
0,0,1,27,"[(0, 10), (75.36862873429936, 17)]"
1,1,2,29,"[(0, 8), (50.650546202898454, 21)]"
2,2,3,37,"[(0, 15), (50.34766788405789, 22)]"
3,3,4,11,"[(0, 11)]"
4,4,5,23,"[(0, 20), (51.06146359420285, 3)]"
5,6,7,34,"[(0, 34)]"
6,7,8,40,"[(0, 15), (50.117952309178634, 10), (50.70420249275354, 15)]"
7,8,9,47,"[(0, 24), (-50.49891704347818, 8), (-52.02819916908205, 15)]"
8,9,0,51,"[(0, 16), (50.63992380676325, 19), (50.77735014492745, 11), (50.22078745893711, 5)]"
9,0,11,42,"[(0, 15), (-50.67417379710139, 10), (-66.10485880193224, 17)]"
10,12,11,33,"[(0, 1), (50.66396714975838, 19), (50.12400193236704, 13)]"
11,11,4,24,"[(0, 24)]"
12,12,14,30,"[(0, 30)]"
13,14,15,67,"[(0, 9), (50.87364997101441, 58)]"
14,15,16,62,"[(0, 5), (50.00217771980668, 13), (50.44903824154582, 9), (1, 35)]"
15,16,17,76,"[(0, 57), (-50.41193312077286, 19)]"
16,17,18,72,"[(0, 17), (50.73080933333325, 41), (50.15139665700474, 14)]"
17,18,19,122,"[(0, 28), (50.91977161352648, 79), (50.17266057971007, 15)]"
